role_id,competency_id,required_level,priority,requirement_type
ROLE012,TECH003,Advanced,High,Core
ROLE012,TECH010,Intermediate,High,Core
ROLE012,TECH011,Advanced,High,Core
ROLE012,GOV001,Advanced,High,Core
ROLE012,GOV002,Advanced,High,Core
ROLE012,GOV003,Intermediate,Medium,Supporting
ROLE012,GOV004,Intermediate,High,Core
ROLE012,GOV005,Advanced,High,Core
ROLE012,BEH003,Intermediate,Medium,Supporting
ROLE013,STAT001,Intermediate,Medium,Supporting
ROLE013,STAT002,Intermediate,Medium,Supporting
ROLE013,STAT008,Intermediate,High,Core
ROLE013,STAT009,Advanced,High,Core
ROLE013,STAT010,Advanced,High,Core
ROLE013,TECH003,Intermediate,High,Core
ROLE013,TECH008,Intermediate,Medium,Supporting
ROLE013,TECH012,Intermediate,Medium,Supporting
ROLE013,GOV002,Advanced,High,Core
ROLE013,BEH004,Advanced,High,Core
ROLE013,BEH005,Intermediate,Medium,Supporting
ROLE014,STAT009,Intermediate,Medium,Supporting
ROLE014,STAT010,Intermediate,Medium,Supporting
ROLE014,TECH008,Intermediate,Medium,Supporting
ROLE014,TECH009,Intermediate,Medium,Emerging
ROLE014,GOV002,Intermediate,High,Core
ROLE014,BEH001,Intermediate,High,Core
ROLE014,BEH002,Advanced,High,Core
ROLE014,BEH003,Advanced,High,Core
ROLE014,BEH004,Advanced,High,Core
ROLE014,BEH005,Intermediate,High,Core
ROLE014,BEH006,Advanced,High,Core
ROLE015,TECH008,Intermediate,Medium,Supporting
ROLE015,GOV002,Advanced,High,Core
ROLE015,GOV005,Intermediate,Medium,Supporting
ROLE015,BEH001,Advanced,High,Core
ROLE015,BEH002,Advanced,High,Core
ROLE015,BEH003,Advanced,High,Core
ROLE015,BEH004,Advanced,High,Core
ROLE015,BEH005,Advanced,High,Core
ROLE015,BEH006,Advanced,High,Core
