competency_id,domain,competency_name,description,beginner_level,intermediate_level,advanced_level
TECH001,Technical Competencies,Python,"Using Python for data processing, statistical analysis, automation, and analytical workflows.",Write basic Python programs and work with common data structures.,"Use Python libraries to clean, analyze, and visualize data.","Build robust analytical workflows, reusable code, and production-oriented data solutions."
TECH002,Technical Competencies,R,"Using R for statistical computing, data analysis, visualization, and reproducible analytical work.",Perform basic data manipulation and statistical operations in R.,Build statistical analyses and visualizations using R.,Develop reproducible and advanced statistical workflows in R.
TECH003,Technical Competencies,SQL,"Using SQL to query, transform, aggregate, and manage structured data.",Write basic SELECT queries and filters.,"Use joins, aggregations, subqueries, and data transformations.",Optimize complex queries and design reliable analytical data workflows.
TECH004,Technical Competencies,Stata,"Using Stata for statistical data management, analysis, and reporting.",Perform basic data manipulation and statistical commands.,Conduct statistical analysis and produce analytical outputs.,Develop advanced and reproducible Stata workflows for complex analysis.
TECH005,Technical Competencies,SPSS,"Using SPSS for statistical data preparation, analysis, and reporting.","Perform basic data entry, cleaning, and descriptive analysis.",Conduct common statistical analyses and interpret outputs.,Design advanced analytical workflows and validate statistical results.
TECH006,Technical Competencies,SAS,"Using SAS for data management, statistical analysis, and reporting.",Understand basic SAS syntax and data operations.,Develop data-processing and statistical-analysis programs.,"Build advanced, reusable SAS workflows for large or complex datasets."
TECH007,Technical Competencies,GIS,"Using geographic information systems to manage, analyze, and visualize spatial data.","Understand basic spatial concepts, layers, and map operations.",Perform spatial analysis and create meaningful maps and outputs.,Design advanced geospatial workflows and integrate spatial analysis with statistical work.
TECH008,Technical Competencies,Data Visualization,Communicating statistical and analytical information through appropriate visual representations.,Create basic charts and understand common visualization types.,Select suitable visualizations and build clear analytical dashboards.,"Design effective, interactive, and audience-specific statistical visualizations."
TECH009,Technical Competencies,AI/ML,Understanding and applying artificial intelligence and machine-learning methods to suitable analytical problems.,"Understand core AI/ML concepts, terminology, and common use cases.","Train, evaluate, and interpret suitable machine-learning models.","Design, validate, and operationalize advanced AI/ML workflows with attention to data and model quality."
TECH010,Technical Competencies,Cloud Computing,Understanding and using cloud-based infrastructure and services for data and analytical workloads.,"Understand basic cloud concepts, services, and deployment models.","Use cloud services for data storage, processing, and application workloads.",Design scalable and secure cloud-based analytical architectures.
TECH011,Technical Competencies,APIs,Using application programming interfaces to exchange data and integrate software systems.,"Understand API concepts, endpoints, requests, and responses.",Consume and work with APIs for data retrieval and system integration.,"Design, secure, document, and integrate robust APIs."
TECH012,Technical Competencies,Open Data,"Finding, understanding, processing, and responsibly using openly available datasets.","Understand open-data concepts, formats, and basic dataset documentation.","Retrieve, clean, analyze, and cite open datasets appropriately.","Evaluate open-data quality, interoperability, licensing, and integration requirements."
GOV001,Digital Governance,Cybersecurity,"Applying cybersecurity principles to protect systems, data, accounts, and digital services.",Understand common cybersecurity risks and basic protective practices.,Apply security controls and recognize common threats in operational work.,Design and evaluate security practices for applications and data workflows.
GOV002,Digital Governance,Data Privacy,Handling personal and sensitive information responsibly through appropriate privacy and data-protection practices.,Understand basic privacy concepts and responsible data handling.,Apply privacy controls and appropriate practices during data processing.,Evaluate privacy risks and design privacy-aware data workflows.
GOV003,Digital Governance,Digital Signatures,Understanding the use and role of digital signatures in secure digital transactions and document workflows.,Understand the purpose and basic concepts of digital signatures.,Use digital-signature workflows correctly in relevant processes.,Evaluate digital-signature requirements and integration considerations.
GOV004,Digital Governance,Government Cloud,Understanding cloud environments and services used for government digital applications and data.,Understand government-cloud concepts and common service models.,Use government-cloud services within defined operational requirements.,"Plan scalable, secure, and interoperable government-cloud deployments."
GOV005,Digital Governance,Digital Public Infrastructure,Understanding digital infrastructure and interoperable platforms that support public digital services.,Understand the concept and components of digital public infrastructure.,Work with interoperable digital services and data-exchange mechanisms.,"Evaluate integration, interoperability, governance, and scalability requirements."
BEH001,Behavioural and Managerial Competencies,Leadership,"Leading people and initiatives, setting direction, allocating responsibilities, and supporting effective execution.",Understand basic leadership responsibilities and team dynamics.,"Coordinate teams, delegate work, and manage delivery effectively.","Lead complex initiatives, resolve organizational challenges, and develop team capability."
BEH002,Behavioural and Managerial Competencies,Communication,"Communicating statistical, technical, and organizational information clearly to different audiences.",Communicate routine information clearly in appropriate formats.,Adapt communication to technical and non-technical audiences.,Lead high-stakes communication and explain complex statistical or technical findings clearly.
BEH003,Behavioural and Managerial Competencies,Project Management,"Planning, executing, monitoring, and closing projects while managing scope, resources, risks, and timelines.",Understand basic project planning concepts and terminology.,"Plan and monitor projects using defined objectives, milestones, and resources.","Manage complex projects, risks, dependencies, and stakeholder expectations."
BEH004,Behavioural and Managerial Competencies,Ethics,"Applying ethical principles to statistical, analytical, managerial, and data-related decisions.",Understand basic ethical responsibilities in professional work.,Identify ethical risks and apply appropriate professional practices.,Evaluate complex ethical issues and establish responsible decision-making practices.
BEH005,Behavioural and Managerial Competencies,Decision Making,"Using evidence, analysis, risks, and constraints to make sound and timely decisions.",Understand basic evidence-based decision-making concepts.,Use relevant evidence and structured reasoning for operational decisions.,Make complex decisions under uncertainty and evaluate their consequences.
BEH006,Behavioural and Managerial Competencies,Change Management,"Managing organizational and process changes associated with new technologies, systems, and ways of working.",Understand why organizational change requires planning and communication.,"Support adoption of new processes, systems, and technologies.","Lead complex change initiatives, manage resistance, and evaluate adoption outcomes."
