course_id,course_name,question_id,assessment_type,question_number,question,option_a,option_b,option_c,option_d,correct_answer,explanation,difficulty,competency,topic,learning_objective
C01,Data Analysis & Manipulation with Python,C01_Q11,FINAL,11,Which expression reports both the mean and the count of 'income' for every district in one operation?,df['income'].mean('district'),"df.pivot_table(index='district', columns='income')","df.AGGREGATE('district', 'income')","df.groupby('district')['income'].agg(['mean', 'count'])",D,agg accepts a list of functions and applies each of them to the income column within every district group.,Advanced,Data Manipulation,Grouping & Aggregation,Compute multiple aggregations in a single grouped operation.
C01,Data Analysis & Manipulation with Python,C01_Q12,FINAL,12,A household microdata file and a village file both contain 'village_code'. How are village characteristics attached to every household row?,"pd.concat([df_household, df_village], axis=1)","pd.merge(df_household, df_village, on='village_code', how='left')",df_household.append(df_village),"pd.merge(df_household, df_village, on='household_id')",B,A left merge on the shared village key attaches village attributes to each household row without dropping any household.,Advanced,Data Transformation,Merge & Join,Combine datasets using merge operations.
C01,Data Analysis & Manipulation with Python,C01_Q13,FINAL,13,Two quarterly files containing the same variables must be stacked one below the other. Which operation is appropriate?,"pd.concat([q1, q2], axis=1)","q1.join(q2, how='outer')","pd.concat([q1, q2], axis=0)","pd.merge(q1, q2, left_index=True, right_index=True)",C,axis=0 concatenates rows; quarter files with identical columns are best combined vertically this way.,Easy,Data Transformation,Concatenation,Stack datasets vertically using concatenation.
C01,Data Analysis & Manipulation with Python,C01_Q14,FINAL,14,"Which pivot_table call creates a table with districts as rows, survey rounds as columns and mean per-capita expenditure as cell values?","df.pivot_table(index='district', columns='round', values='mpce', aggfunc='mean')",df.groupby('district')['mpce'].count(),"df.melt(id_vars='district', value_vars='mpce')","df.merge(df_round, df_mpce, how='left')",A,"pivot_table spreads one categorical variable across rows and another across columns, aggregating the values with a chosen function.",Medium,Data Transformation,Pivot Tables,Reshape data with pivot tables.
C01,Data Analysis & Manipulation with Python,C01_Q15,FINAL,15,A wide indicator table has one column per month. Which command converts it to long form with columns 'month' and 'value'?,"df.pivot_table(index='sector', columns='month')",df.stack().unstack().mean(),df.explode('month').groupby('value'),"df.melt(id_vars='sector', var_name='month', value_name='value')",D,"melt gathers many columns into attribute-value pairs, producing the long format typically required for time-series plotting.",Advanced,Data Transformation,Reshaping (melt),Reshape wide tables to long format.
C01,Data Analysis & Manipulation with Python,C01_Q16,FINAL,16,The 'age' column was read as text. Which statement converts it to numeric while turning invalid entries into missing values?,df['age'] = df['age'].astype(int),"df['age'] = pd.to_numeric(df['age'], errors='coerce')",df['age'] = df['age'].apply(str),df['age'] = pd.to_datetime(df['age']),B,"to_numeric parses strings to numbers and, with errors='coerce', converts values it cannot parse into NaN.",Medium,Data Cleaning,Type Conversion,Convert data types safely.
C01,Data Analysis & Manipulation with Python,C01_Q17,FINAL,17,Which snippet reports the number of fully duplicated rows in a DataFrame?,df.drop_duplicates().size,df.unique().count(),df.duplicated().sum(),df.notna().sum(),C,"duplicated() returns a boolean mask over rows and sum() counts the True values, giving the duplicate-row count.",Medium,Data Cleaning,Duplicate Detection,Detect duplicate records.
C01,Data Analysis & Manipulation with Python,C01_Q18,FINAL,18,"The 'state' column mixes 'Bihar ', 'BIHAR' and 'bihar'. Which single pipeline makes the values consistent?",df['state'] = df['state'].str.strip().str.title(),df['state'] = df['state'].str.len(),df['state'] = df['state'].str.upper().str.len(),df['state'] = df['state'].map(hash),A,"str.strip removes surrounding whitespace and str.title() standardises capitalisation, so the three spellings become one form.",Advanced,Data Cleaning,String Normalization,Standardise categorical string values.
C01,Data Analysis & Manipulation with Python,C01_Q19,FINAL,19,How do df.loc and df.iloc differ?,df.loc selects by position; df.iloc selects by label,df.loc selects only columns; df.iloc selects only rows,Both select by position and always return identical results,df.loc selects rows and columns by label; df.iloc selects them by integer position,D,"loc uses row/column labels while iloc uses zero-based integer positions, making indexing behaviour explicit.",Easy,Data Manipulation,Indexing (loc/iloc),Select data using label- and position-based indexing.
C01,Data Analysis & Manipulation with Python,C01_Q20,FINAL,20,Which summary value most strongly flags a likely data-entry problem in the 'income' column?,A count equal to the number of rows,A negative minimum value for income,A median lying between the 25th and 75th percentile,A standard deviation close to zero,B,"Income cannot be negative in official statistics, so a negative minimum strongly indicates a recording or coding error.",Medium,Statistical Analysis,Descriptive Statistics,Identify anomalies from descriptive statistics.
C01,Data Analysis & Manipulation with Python,C01_Q21,FINAL,21,Which command measures the linear association between 'education_years' and 'wage'?,df['education_years'].sum(df['wage']),df['education_years'].mode(df['wage']),df['education_years'].corr(df['wage']),df['education_years'].cumsum(),C,".corr() computes the Pearson correlation coefficient between two columns, measuring their linear association.",Medium,Statistical Analysis,Correlation,Compute association between two numeric variables.
C01,Data Analysis & Manipulation with Python,C01_Q22,FINAL,22,The Pearson correlation between two variables is -0.7. What is the correct interpretation?,"A strong negative linear relationship: as one variable rises, the other tends to fall",A strong positive linear relationship,Almost no relationship between the variables,The first variable causes 70% of the movement in the second,A,"Values near -1 signal a strong negative linear tendency; correlation measures association, not causation.",Advanced,Statistical Analysis,Correlation Interpretation,Interpret correlation coefficients correctly.
C01,Data Analysis & Manipulation with Python,C01_Q23,FINAL,23,"From df['income'].describe(), the median is Rs 22,000 and the 75th percentile is Rs 45,000. The income distribution is most likely:",Left-skewed (negatively skewed),Perfectly symmetric,Uniform across all values,Right-skewed (positively skewed),D,"The upper half of the distribution spans a much wider range than the lower half, indicating a long right tail.",Medium,Statistical Analysis,Distribution Shape,Infer distribution shape from summary statistics.
C01,Data Analysis & Manipulation with Python,C01_Q24,FINAL,24,Which command best reveals unexpected or misspelled categories in the 'occupation' column?,df['occupation'].sum(),df['occupation'].value_counts(),df['occupation'].cummax(),df['occupation'].max(),B,"value_counts() lists every distinct category together with its frequency, exposing stray or misspelled labels.",Easy,Data Validation,Categorical Validation,Validate categorical variables.
C01,Data Analysis & Manipulation with Python,C01_Q25,FINAL,25,What is the most appropriate validation for the 'age' of enumerated household members in a demographic survey?,A check that all ages are different from each other,A check that ages are stored as text,A range check that age lies within the plausible bounds defined for the survey,A check that the ages sum to the population total,C,"Range checks reject impossible values, such as age 250, against the lower and upper limits defined for the survey.",Advanced,Data Validation,Range Checks,Define range checks for numeric variables.
C01,Data Analysis & Manipulation with Python,C01_Q26,FINAL,26,"In a household file, the sum of members listed across relation codes should equal the reported household size. This type of check is called:",A consistency (internal integrity) check,An imputation method,A sampling-design check,An outlier smoothing technique,A,"Consistency checks verify that related fields within a record agree, exposing internal contradictions in the data.",Medium,Data Validation,Consistency Checks,Apply internal consistency checks.
C01,Data Analysis & Manipulation with Python,C01_Q27,FINAL,27,"To create a new column 'age_group' by passing the 'age' value of each row to a function label_age, the idiomatic pandas approach is:",df['age_group'] = label_age(df),"df['age_group'] = df.apply(label_age, result_type='expand')",df['age_group'] = 'label_age(' + df['age'] + ')',df['age_group'] = df['age'].apply(label_age),D,"Series.apply sends each element of the column to the function, element by element, unlike DataFrame.apply which works row- or column-wise.",Medium,Data Transformation,apply() Function,Transform columns using element-wise functions.
C01,Data Analysis & Manipulation with Python,C01_Q28,FINAL,28,"After a left merge, the resulting table has MORE rows than the household file. What is the most likely cause?",The household file has missing values in the village column,The village file contains more than one row for at least one village code,The merge used how='right' on a different key,dropna was applied before merging,B,"A many-to-one key on the right side duplicates each matching household row once per village record, inflating the row count.",Advanced,Data Transformation,Merge Diagnostics,Diagnose unexpected row counts after merges.
C01,Data Analysis & Manipulation with Python,C01_Q29,FINAL,29,Why must the sampling multipliers (weights) provided with large-scale official household surveys be applied during analysis?,They convert every variable to its numeric form,They reduce the size of the dataset for analysis,They make estimates representative of the target population by accounting for selection probabilities,They automatically delete missing observations,C,"Weights are the inverse of selection probabilities, scaling sample records so they correctly represent the full population.",Medium,Statistical Analysis,Survey Weights,Explain the role of survey weights.
C01,Data Analysis & Manipulation with Python,C01_Q30,FINAL,30,The unweighted mean income differs noticeably from the weighted mean in a household survey. What does this indicate?,"The sample is not self-weighting, so weights adjust for differential selection probabilities across groups",The data contain duplicate records that must be removed,The income variable is missing for most households,The weighted estimate is always unreliable and the unweighted one is final,A,Different selection probabilities across strata make the unweighted mean unrepresentative until weights are applied.,Advanced,Statistical Analysis,Weighted vs Unweighted Estimates,Interpret differences between weighted and unweighted estimates.
C02,Statistical Survey Methodology & Sample Design,C02_Q01,INITIAL,1,"In survey methodology, the complete set of units about which information is required is called the:",Sample of eligible units,Sampling frame,Enumeration block,Target population (universe),D,The target population is the entire group the survey aims to describe; the sample is a subset drawn from it.,Easy,Survey Fundamentals,Population & Sample,Define population and sample.
C02,Statistical Survey Methodology & Sample Design,C02_Q02,INITIAL,2,Which of the following best defines a sampling frame?,The set of questions asked in the interview,The list of units from which the sample is actually selected,The budget sanctioned for the survey,The final tabulated results of the survey,B,"The frame lists all population units eligible for selection, such as a household list, and is the basis for sampling.",Easy,Survey Fundamentals,Sampling Frame,Define the sampling frame.
C02,Statistical Survey Methodology & Sample Design,C02_Q03,INITIAL,3,When does a procedure qualify as simple random sampling (SRS)?,Units are chosen because they are easy to reach,Every 10th unit is picked from a list,Every distinct unit has an equal and known chance of selection,Only experts select the units they judge typical,C,SRS gives every unit an equal and known probability of selection and is the reference probability design.,Medium,Sampling Design,Simple Random Sampling,Explain the conditions for simple random sampling.
C02,Statistical Survey Methodology & Sample Design,C02_Q04,INITIAL,4,Why would a national household survey be stratified by State before sample selection?,To guarantee representation across States and to improve precision through controlled allocation,To shorten the questionnaire used in the field,To eliminate all interviewer errors,To let respondents answer anonymously by State,A,Stratification guarantees every State contributes units and can reduce sampling variance for key estimates.,Medium,Sampling Design,Stratified Sampling,Explain the purpose of stratification.
C02,Statistical Survey Methodology & Sample Design,C02_Q05,INITIAL,5,Which statement correctly distinguishes sampling error from non-sampling error?,Non-sampling error disappears when the sample is enlarged; sampling error never changes,Sampling error is caused only by respondents giving false answers,The two errors are always exactly equal in size,"Sampling error arises from the random selection of a sample and can be estimated, while non-sampling error arises from measurement, coverage and processing problems and is not removed simply by design",D,"Random sampling error is quantifiable from the design, whereas non-sampling errors persist regardless of sample size.",Advanced,Sampling Error,Types of Errors,Differentiate sampling and non-sampling error.
C02,Statistical Survey Methodology & Sample Design,C02_Q06,FINAL,6,"A statistician lists all 40,000 households in a town and selects 100 using a table of random numbers. This design is:",Stratified random sampling,Simple random sampling,Cluster sampling,Convenience sampling,B,Selecting directly from the full household list with random numbers satisfies the definition of simple random sampling.,Easy,Sampling Design,Simple Random Sampling,Identify simple random sampling in practice.
C02,Statistical Survey Methodology & Sample Design,C02_Q07,FINAL,7,"Compared with a complete census, a scientifically designed sample survey generally:",Is always more accurate than the census under every condition,Produces exact population figures with zero error,Is faster and cheaper while providing adequate accuracy for most purposes,Does not require any sampling frame,C,"A well-designed sample offers timely, cost-effective estimates with measurable precision, though it carries sampling error.",Easy,Survey Fundamentals,Census vs Sample,Compare census and sample surveys.
C02,Statistical Survey Methodology & Sample Design,C02_Q08,FINAL,8,A village list ordered by household address is sampled by taking every 20th household from a random start. What is the main risk to watch for?,Hidden periodicity in the ordering could coincide with the sampling interval and bias the sample,The method produces no sampling error whatsoever,The sample can never be representative under any condition,The sampling frame is unnecessary for this design,A,Regularly repeated patterns in the frame that align with the interval can make systematic samples unrepresentative.,Medium,Sampling Design,Systematic Sampling,Identify risks of systematic sampling.
C02,Statistical Survey Methodology & Sample Design,C02_Q09,FINAL,9,"In proportional allocation of a stratified sample, the number of units drawn from a stratum is:",Equal to the number drawn from every other stratum,Fixed at one unit per stratum regardless of size,Set by the interviewer's convenience,Proportional to the stratum's size in the population,D,"Proportional allocation reproduces population shares in the sample, producing a self-weighting design.",Medium,Sampling Design,Stratified Allocation,Describe proportional allocation in stratified sampling.
C02,Statistical Survey Methodology & Sample Design,C02_Q10,FINAL,10,Why do large official surveys often use cluster sampling (selecting villages and enumerating them fully) rather than SRS of households?,It eliminates interviewer and measurement error completely,Clustering cuts travel costs and simplifies fieldwork while still using probability selection,It requires a complete national list of every individual,It gives each household a zero chance of selection,B,"Clusters concentrate fieldwork within selected areas, reducing cost at the price of a higher design effect.",Medium,Sampling Design,Cluster Sampling,Explain the rationale for cluster sampling.
C02,Statistical Survey Methodology & Sample Design,C02_Q11,FINAL,11,Which statement captures the fundamental difference between stratified and cluster sampling?,Cluster sampling selects units uniformly across the whole frame; stratified sampling never does,The two methods are identical and yield the same variance always,In stratified sampling every stratum contributes units; in cluster sampling only the selected clusters are enumerated,Stratified sampling is used only for censuses,C,"Stratification guarantees representation in all groups, whereas cluster sampling restricts enumeration to chosen natural groups.",Advanced,Sampling Design,Stratification vs Clustering,Contrast stratified and cluster designs.
C02,Statistical Survey Methodology & Sample Design,C02_Q12,FINAL,12,"All else being equal, reducing the required margin of error means the sample size must:",Increase,Decrease,Remain unchanged,Be replaced by the number of districts alone,A,"Precision rises with sample size, so achieving a smaller margin of error requires a larger sample.",Easy,Sample Size & Estimation,Sample Size,Relate margin of error to sample size.
C02,Statistical Survey Methodology & Sample Design,C02_Q13,FINAL,13,Roughly how many times larger must the sample size become to HALVE the standard error of an SRS estimate?,Twice larger,Ten times larger,Half the original size,Four times larger,D,"Standard error is inversely proportional to the square root of the sample size, so halving it needs about a fourfold increase.",Advanced,Sample Size & Estimation,Sample Size Calculation,Compute how sample size affects precision.
C02,Statistical Survey Methodology & Sample Design,C02_Q14,FINAL,14,The sampling frame omits households in informal/slum settlements of a town. The resulting estimates will suffer mainly from:,A pure random sampling error that formulas correctly estimate,"Under-coverage of the frame, a non-sampling (coverage) error",Higher precision with no bias at all,No effect as long as the sample is large,B,A frame that misses population units biases estimates in a way that sampling-variance formulas cannot reflect.,Medium,Non-sampling Error,Coverage Error,Identify frame under-coverage.
C02,Statistical Survey Methodology & Sample Design,C02_Q15,FINAL,15,"In India's large-scale household surveys (e.g., NSS style), villages are selected in an earlier stage and households within them later. This is called:",Quota sampling,Snowball sampling,Multistage sampling,Single-stage systematic sampling with a national household list,C,"Multistage designs sample progressively smaller units, first villages and then households within them, without a national household list.",Medium,Sampling Design,Multistage Design,Describe multistage survey designs.
C02,Statistical Survey Methodology & Sample Design,C02_Q16,FINAL,16,"In selection of villages with probability proportional to size (PPS) using village population, which statement is correct?","Larger villages have higher selection chances, and weights correct the resulting over-/under-selection",All villages receive exactly equal selection probability,Larger villages are excluded from selection,Selected villages are never weighted in estimation,A,PPS draws large villages more often; applying inverse-probability weights keeps the estimates unbiased.,Advanced,Sampling Design,PPS Sampling,Explain probability-proportional-to-size selection.
C02,Statistical Survey Methodology & Sample Design,C02_Q17,FINAL,17,"From 400 sampled households, mean monthly expenditure is Rs 9,000. The estimated total monthly expenditure of the 20,000-household population is:","Rs 9,000","Rs 20,000","Rs 72,000,000","Rs 180,000,000 (Rs 9,000 x 20,000)",D,"The population total is estimated by scaling the sample mean up by the population size (9,000 x 20,000).",Easy,Sample Size & Estimation,Estimation of Totals,Estimate population totals from a sample mean.
C02,Statistical Survey Methodology & Sample Design,C02_Q18,FINAL,18,"For a fixed sampling design, the standard error of a survey estimate chiefly depends on:",The mode of the sample distribution alone,Sample size and the variability of the characteristic in the population,Only the sample mean value,The number of hours spent in the field per interviewer,B,The estimator's variance falls with more observations and rises with greater population variability.,Advanced,Sampling Error,Standard Error,Explain determinants of standard error.
C02,Statistical Survey Methodology & Sample Design,C02_Q19,FINAL,19,"A 95% confidence interval for mean income is Rs 18,000 to Rs 22,000. The correct interpretation is:",95% of all incomes in the population lie inside this interval,"The true mean equals Rs 20,000 exactly and certainly","The procedure, if repeated on many samples, will contain the population mean about 95% of the time",95% of the sampled values fall inside the interval,C,Confidence intervals describe the long-run coverage of the estimation procedure for the unknown population value.,Medium,Sampling Error,Confidence Intervals,Interpret a confidence interval correctly.
C02,Statistical Survey Methodology & Sample Design,C02_Q20,FINAL,20,Which item below is a non-sampling error?,Respondents misremembering and giving wrong answers,Chance differences among randomly selected samples,The computation of the standard error by formula,The effect of increasing sample size,A,Recall and response mistakes are measurement errors that do not arise from random sample selection.,Medium,Non-sampling Error,Non-sampling Error Sources,Identify a non-sampling error.
C02,Statistical Survey Methodology & Sample Design,C02_Q21,FINAL,21,Many respondents report last year's income-tax figure instead of current household income. This is best classified as:,Sampling error,Frame under-coverage,A simple widening of the sampling variance,Measurement (response) error,D,"The recorded value differs from the true value, which is a response-based measurement error.",Medium,Non-sampling Error,Measurement Error,Classify sources of measurement error.
C02,Statistical Survey Methodology & Sample Design,C02_Q22,FINAL,22,"If 30% of selected households refuse to participate, the chief danger for the survey estimates is:",Complete failure of the standard error formula under all designs,Non-response bias when refusers differ systematically from respondents,Loss of all records collected from other households,A guaranteed increase in precision,B,Refusals bias results when the missing households differ systematically from those that responded.,Advanced,Non-sampling Error,Non-response,Assess the impact of non-response.
C02,Statistical Survey Methodology & Sample Design,C02_Q23,FINAL,23,Which questionnaire feature most reduces measurement error?,Long double-barrelled questions covering many ideas at once,Leading questions worded to encourage a favourable answer,"Clear, single-concept questions with simple response options and a defined reference period",Ambiguous response categories such as 'sometimes or often',C,"Short, precise and unambiguous items minimise respondent misinterpretation and recall error.",Medium,Survey Design & Data Collection,Questionnaire Design,Apply questionnaire design best practice.
C02,Statistical Survey Methodology & Sample Design,C02_Q24,FINAL,24,The main purpose of piloting (pre-testing) a survey questionnaire is to:,"Detect wording, flow and logistics problems before the main fieldwork begins",Produce the final official estimates straight away,Replace the main survey entirely,Determine the budget without any further testing,A,Pilots reveal comprehension and operational problems so they can be corrected early and cheaply.,Medium,Survey Design & Data Collection,Pilot Testing,Explain the purpose of pilot testing.
C02,Statistical Survey Methodology & Sample Design,C02_Q25,FINAL,25,Which practice is an effective field quality-control measure during data collection?,Field staff omit refusal records silently to meet targets,All interviews are accepted without any verification,The questionnaire is revised daily during the main survey,Supervisors back-check a subsample of completed interviews with selected respondents,D,Independent back-checks verify that interviews genuinely occurred and that responses are consistent.,Advanced,Survey Design & Data Collection,Field Quality Control,Design field verification procedures.
C02,Statistical Survey Methodology & Sample Design,C02_Q26,FINAL,26,"To obtain reliable estimates for a rare group while controlling cost, the most practical approach is:",Rely on equal-probability sampling regardless of the group's rarity,Oversample or list-frame the rare group and account for it through weights,Drop the rare group from the survey entirely,Enlarge cluster size without changing anything else,B,Enriching the rare group's inclusion and weighting afterwards preserves both accuracy and cost.,Advanced,Sampling Design,Rare Population Sampling,Design samples for rare populations.
C02,Statistical Survey Methodology & Sample Design,C02_Q27,FINAL,27,"In a national survey, each selected household is given a multiplier (weight). The weight mainly serves to:",Hide the missing values in the data,Convert all variables into percentages,"Raise sample observations to represent the full population, respecting selection probabilities",Replace interviewer judgement in the field,C,Weights scale each record by the inverse of its selection probability so estimates match the population.,Medium,Sample Size & Estimation,Survey Weights,Explain the function of survey weights.
C02,Statistical Survey Methodology & Sample Design,C02_Q28,FINAL,28,A clustered design has a design effect (DEFF) of 2.0 for an indicator. This implies:,The variance is doubled: about twice the sample of an SRS is needed for equal precision,The estimate is exactly double the population value,The sample should be halved to improve accuracy,Cluster sampling has no sampling error,A,The design effect is the ratio of the cluster design variance to an SRS variance; a value of 2 means double the variance.,Advanced,Sampling Error,Design Effect,Interpret the design effect.
C02,Statistical Survey Methodology & Sample Design,C02_Q29,FINAL,29,A list of enterprises maintained for an MSME survey is best described as a:,Questionnaire item,Probability distribution,Sampling frame (list frame) for the survey,Census schedule used in all surveys,C,Business registers provide the list of units from which enterprise samples are drawn.,Easy,Survey Fundamentals,Business Register,Recognise list frames in business surveys.
C02,Statistical Survey Methodology & Sample Design,C02_Q30,FINAL,30,An agency must publish the unemployment rate with acceptable reliability for EACH State. The appropriate strategy is to:,Stratify by State and allocate the sample to attain the required precision for each state/domain,Select one district per State with equal probability and no allocation,"Publish only the national figure, ignoring State-level requirements",Rely on voluntary online responses without probability selection,A,Allocation targets sample sizes to the reliability that each State-level estimate demands.,Advanced,Survey Design & Data Collection,Sample Allocation,Apply sample allocation to satisfy domain estimates.
C03,National Accounts Compilation & SNA 2008 Framework,C03_Q01,INITIAL,1,A nation's Gross Domestic Product (GDP) for a year is best defined as:,The total value of all goods exported during the year,The total tax revenue collected by the government,The market value of all final goods and services produced within the domestic territory during that year,The sum of all wholesale price index numbers posted during the year,C,GDP measures the market value of final output produced inside a country's territory in a given period.,Easy,National Accounts Concepts,GDP Definition,Define GDP.
C03,National Accounts Compilation & SNA 2008 Framework,C03_Q02,INITIAL,2,"In SNA-based national accounts, how is GDP at market prices related to GVA at basic prices?",GDP at market prices = GVA at basic prices + taxes on products - subsidies on products,GDP at market prices = GVA at basic prices - depreciation,GDP at market prices = GVA at basic prices + depreciation only,GDP at market prices and GVA at basic prices are the same by definition,A,Moving from basic to market prices adds taxes on products net of subsidies on products.,Easy,National Accounts Concepts,GVA-GDP Relationship,Relate GVA and GDP.
C03,National Accounts Compilation & SNA 2008 Framework,C03_Q03,INITIAL,3,The three approaches used to measure national output and income are:,"Supply, demand and inventory approaches","Public, private and household approaches","Fiscal, monetary and trade approaches","Production, expenditure and income approaches",D,"Production, expenditure and income approaches measure the same GDP from different sides of the economy.",Medium,National Accounts Concepts,Measurement Approaches,Identify the three measurement approaches.
C03,National Accounts Compilation & SNA 2008 Framework,C03_Q04,INITIAL,4,GDP estimates expressed in 'constant prices' are compiled in order to:,Reflect the newest tax rates in the current year only,Remove the effect of price changes so that real quantities can be compared across time,Express everything in foreign currency units,Adjust figures for population change alone,B,"Constant-price (real) series value output at base-year prices, isolating volume movements over time.",Medium,Current vs Constant Prices,Constant Price Estimates,Explain the purpose of constant price estimates.
C03,National Accounts Compilation & SNA 2008 Framework,C03_Q05,INITIAL,5,"Under the SNA 2008 framework, which of the following is recognised as capital formation rather than intermediate consumption?",Purchase of raw materials for current production,Wages paid to temporary office staff,Expenditure on research and development that yields lasting economic benefit,Consumption of stationery and printing supplies,C,"SNA 2008 capitalised research and development as gross fixed capital formation, treating it as investment in knowledge.",Advanced,National Accounts Concepts,SNA 2008 Framework,Recognise SNA 2008 capitalisation changes.
C03,National Accounts Compilation & SNA 2008 Framework,C03_Q06,FINAL,6,Which of the following would be counted directly as final output in the production-side measurement of GDP?,A newly manufactured car sold to a household,Steel purchased by an automobile factory,Cotton procured by a textile mill,Diesel bought for a courier company's delivery fleet,A,"Goods sold to households are final output, whereas goods consumed within production are intermediate inputs.",Easy,Production Approach,Final vs Intermediate Goods,Classify final and intermediate goods.
C03,National Accounts Compilation & SNA 2008 Framework,C03_Q07,FINAL,7,Nominal GDP is Rs 200 lakh crore and real GDP (base-year prices) is Rs 160 lakh crore. The GDP deflator equals:,80,1.25,100,125,D,"The deflator is (nominal/real) x 100 = (200/160) x 100 = 125, meaning prices are about 25% above the base year.",Medium,Current vs Constant Prices,GDP Deflator,Compute the GDP deflator.
C03,National Accounts Compilation & SNA 2008 Framework,C03_Q08,FINAL,8,Which set correctly lists the components of expenditure-based GDP?,Compensation of employees + operating surplus + rent only,Private final consumption + government final consumption + gross capital formation + net exports,GVA at basic prices + subsidies only,Investment + savings + interest payments only,B,"The expenditure identity sums consumption, investment-like gross capital formation and net exports.",Medium,Expenditure Approach,Expenditure Components,List components of expenditure GDP.
C03,National Accounts Compilation & SNA 2008 Framework,C03_Q09,FINAL,9,"The income approach to GDP includes compensation of employees, gross operating surplus, mixed income and:",Government market borrowing,Household savings only,Net taxes on production and imports (taxes less subsidies),Foreign exchange reserves,C,Net taxes on production and imports bridge factor incomes to GDP at market prices.,Medium,Income Approach,Income Components,Describe the income approach.
